,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
300,Tarko-Sale,64.9225,77.785,259.73,95,67,3.66,RU,1635369374
301,Aktau,43.65,51.2,273.47,52,0,5.41,KZ,1635369374
302,Pontianak,-0.0333,109.3333,297.14,100,90,1.54,ID,1635369375
303,San Angelo,31.4638,-100.437,295.27,26,90,12.07,US,1635369264
304,Gravina in Puglia,40.8197,16.4228,286.49,83,83,2.66,IT,1635369375
305,Bonthe,7.5264,-12.505,300.3,80,78,2.75,SL,1635369375
306,Panabá,21.2833,-88.2667,306.98,47,68,6.73,MX,1635369376
307,Vila Velha,-20.3297,-40.2925,298.12,83,75,5.14,BR,1635369374
308,Tezu,27.9167,96.1667,291.98,51,1,1.94,IN,1635369376
309,Brandon,27.9378,-82.2859,303.15,59,1,2.68,US,1635369376
310,Road Town,18.4167,-64.6167,302.2,65,40,2.57,VG,1635369377
311,Acaraú,-2.8856,-40.12,300.2,75,36,7.36,BR,1635369377
312,Jaumave,23.4167,-99.3833,304.75,34,39,1.26,MX,1635369377
313,Katsuura,35.1333,140.3,288.81,89,100,3.75,JP,1635369378
314,Mathathane,-22.2687,28.7495,294.94,67,100,8.72,BW,1635369378
315,Krasnosel'kup,65.7,82.4667,257.38,98,83,3.05,RU,1635369378
316,Jérémie,18.65,-74.1167,301.03,73,88,0.97,HT,1635369379
317,Tarakan,3.3,117.6333,298.87,94,75,1.03,ID,1635369379
318,Kardymovo,54.8902,32.4311,278.77,90,100,5.15,RU,1635369379
319,Bequimão,-2.4489,-44.7825,302.33,72,54,2.5,BR,1635369380
320,Saint-Pierre,-21.3393,55.4781,293.97,69,0,2.57,RE,1635369380
321,Galle,6.0367,80.217,298.78,86,100,3.58,LK,1635369381
322,Huarmey,-10.0681,-78.1522,293.5,74,13,5.65,PE,1635369381
323,Tigil',57.8,158.6667,271.36,98,100,1.19,RU,1635369381
324,Shimanovsk,52.0,127.7,273.11,86,14,1.86,RU,1635369382
325,Okhotsk,59.3833,143.3,265.98,85,76,3.17,RU,1635369382
326,Nālūt,30.3333,10.85,291.65,52,0,5.41,LY,1635369382
327,Bibiani,6.4635,-2.3194,295.61,97,63,1.17,GH,1635369382
328,Ventspils,57.3894,21.5606,285.11,100,90,6.69,LV,1635369383
329,Labuhan,-6.8844,112.2051,299.21,85,89,2.56,ID,1635369383
330,Diu,20.7141,70.9822,298.65,48,7,2.76,IN,1635369383
331,Iqaluit,63.7506,-68.5145,272.0,86,40,0.0,CA,1635369384
332,Deputatsky,69.3,139.9,255.97,98,100,0.99,RU,1635369384
333,Vila Franca do Campo,37.7167,-25.4333,292.38,87,100,4.53,PT,1635369384
334,Hokitika,-42.7167,170.9667,289.02,51,62,2.04,NZ,1635369385
335,Oga,46.4631,10.347,275.2,71,0,1.22,IT,1635369385
336,San Quintín,30.4833,-115.95,295.7,45,0,4.04,MX,1635369385
337,Huntsville,34.7304,-86.5861,296.29,38,1,0.89,US,1635369301
338,Broome,42.2506,-75.833,286.49,72,1,2.24,US,1635369386
339,Ancud,-41.8697,-73.8203,290.05,78,1,4.25,CL,1635369386
340,Xam Nua,20.4197,104.0439,289.83,93,100,0.61,LA,1635369386
341,Vung Tau,10.346,107.0843,298.32,82,100,1.44,VN,1635369173
342,Kambia,9.1167,-12.9167,297.2,95,36,1.72,SL,1635369387
343,Pevek,69.7008,170.3133,260.58,93,100,5.18,RU,1635369387
344,Karīmganj,24.8667,92.35,294.71,89,31,1.04,IN,1635369388
345,Chui,-33.6971,-53.4616,295.92,68,0,2.66,UY,1635369388
346,Glendive,47.1053,-104.7125,289.09,35,1,8.23,US,1635369388
347,Bengkulu,-3.8004,102.2655,297.89,84,100,1.81,ID,1635369389
348,Talakan,50.3167,130.3667,272.98,96,6,1.62,RU,1635369389
